,mse,mape
0,0.005866929895591736,0.11490003765316009
1,0.01296446286828518,0.1576129794189453
3,0.01832584664912224,0.21918652952404025
4,0.03285236120910645,0.0419434085556984
5,0.022852361209106446,0.3233804106781006
6,0.02844844595284462,0.09905900806875227
7,0.01844844595284462,0.1488130390712738
8,0.01620483678520918,0.15201273561210632
9,0.024173147983264927,0.4131977558204651
10,0.005990091252487898,0.10354565084667205
12,0.03213324607105256,0.06385269761772157
13,0.004954194424089789,0.0777501985499382
14,0.02213324607105255,0.34050279856414795
15,0.005640659488153458,0.12738794089050293
16,0.011935176334691048,0.13008219004364013
17,0.0879374966094017,0.307119876153183
18,0.052484583116483685,0.1917563676902771
19,0.004271422054034472,0.07803540677518844
20,0.02872003079147339,0.786320030696106
21,0.003913365544167161,0.06133382768125534
22,0.030227223641586306,0.17733959854335785
23,0.02636021003813744,0.2167975008556366
24,0.020227223641586304,0.3113004565307617
25,0.03125453949661255,0.09652926773519516
26,0.03308792994112968,0.049830205745410916
27,0.02125453949661255,0.15631903708667755
28,0.023087929941129685,0.20053514838905326
29,0.05074534938426018,0.2407679855892181
31,0.009778812534523009,0.17845807970256805
32,0.04532517493457793,0.23688474298210144
34,0.0292841680416584,0.7661120295593262
35,0.004669915658769012,0.07694189996213913
36,0.013790464966905116,0.13184130192489624
37,0.013861234306704998,0.2971507608959198
39,0.032519835985612866,0.5575610995361329
40,0.013093716471803189,0.2512298673460007
41,0.01728409063757658,0.13761392236442566
42,0.07216986269445419,0.2869958281585693
44,0.03165871859283447,0.6495633721420289
45,0.01278695651085377,0.21893015504570007
47,0.030759776241493224,0.2425777912208557
48,0.006912941119980812,0.13490822911949157
49,0.13608375192375186,0.33679679036827087
50,0.0031556988902136686,0.06873473525733947
51,0.02165871859283448,0.4361092448303223
54,0.003284504411157965,0.06275066734046936
55,0.032242080203604695,0.4385265111991882
56,0.020759776241493225,0.3870055079528809
57,0.0031624202452346685,0.06641954929323196
58,0.03587631509394646,0.16087026894779205
59,0.029554577774715426,0.2250978797742844
61,0.0042759098646909,0.08271940053195952
62,0.014493675909352305,0.2171370089122772
63,0.012462647638630869,0.20976939798088073
65,0.004773650092419982,0.07871620357723236
66,0.00709548826084733,0.14963935316295623
67,0.04936780781240463,0.27696469426841736
68,0.03005283348948956,0.19341395796031952
69,0.017759073532533646,0.12724447251052853
70,0.019554577774715424,0.14827790857048034
71,0.031438065699648854,0.18891963363380432
72,0.02953254640789032,0.7616776228019715
73,0.08925180882902145,0.7043643593856812
74,0.032295655466032025,0.5688462853500367
75,0.005430818309423328,0.09792996943683624
76,0.01268091984779835,0.21553447843284607
77,0.029926790154886248,0.1701329797574997
78,0.05662519485445023,0.4098774492809296
79,0.020052833489489556,0.13263466954917907
80,0.04994970560760498,0.2767012715408325
81,0.07025119662971498,0.9967643618652344
82,0.03122784220368862,0.06638334692211151
83,0.01953254640789032,0.18747161329479212
84,0.004789363599729538,0.09149241448135376
85,0.0745928287574768,0.2434598803588867
86,0.002812269732703268,0.04989266396255493
87,0.017673850066375733,0.1521994918653488
88,0.019926790154886246,0.33664327860565185
89,0.002744947974451631,0.04823441431612968
90,0.008115700452935696,0.1309982538291931
91,0.005520637852486968,0.10076372326107023
92,0.02830741555185318,0.11374063790531155
93,0.021227842203688615,0.16907516122550964
94,0.006534446037721634,0.09903515876026153
95,0.010414658121180535,0.147009134299469
97,0.028027471161794663,0.1819081306526184
98,0.008714068687868119,0.1594031453201294
99,0.008342105902147293,0.15350881219596865
100,0.04091485590429306,0.7464432120391846
101,0.016521774239253995,0.23417356610984802
102,0.06271220371813772,0.28042268753738403
103,0.017994426197719574,0.2950973510810852
104,0.007536739117813111,0.14701004327030182
106,0.014384869492959976,0.2414135634967804
109,0.02979964785964489,0.2398802340099335
110,0.03091229499073029,0.5863862633773804
111,0.0034927011070519684,0.07526988536806108
112,0.007788387134087086,0.11332758516759872
113,0.01284269523562193,0.11651659012527464
114,0.03768507391901016,0.20050758124084475
115,0.013839622966361046,0.17093376816005706
116,0.13011166454048154,0.7133859992095948
117,0.0037402464145541194,0.07327152789325714
118,0.0022870500175029037,0.026772499091339108
119,0.0030736822005108,0.05377325416297912
121,0.0057068993406116965,0.07796617598028183
122,0.00317350857180804,0.053818136460495
124,0.03085608989686966,0.07680261135787964
125,0.007421034860771895,0.14908847213478088
126,0.01979964785964489,0.4877662062713623
127,0.011430611840796471,0.14357575774879455
128,0.03126647346408367,0.3400592804023743
129,0.040781825787734975,0.6909204125473023
130,0.030988689518880844,0.4878352284500122
131,0.03224759758205414,0.07039030642004013
132,0.008984770632696154,0.1360128521987915
133,0.002984109457929432,0.058539982891988744
134,0.0068454616771757605,0.1083649098941803
135,0.011772925041031836,0.2292189449140549
137,0.05572268367500305,0.9916189909049988
139,0.005660196307462454,0.08554722369403839
141,0.02889094129891396,0.4684416651794434
143,0.009520630359065533,0.11595425010414125
144,0.014604059986186028,0.18868973851890564
146,0.02085608989686966,0.18150518835277554
147,0.005971120677304268,0.08520972729415893
148,0.02842443645687104,0.07579687238426207
149,0.03154295519680977,0.23026683927268984
150,0.02126647346408367,0.14595252276153564
151,0.00849294383765459,0.12474970520229339
152,0.05600294098944664,0.2272020876476288
153,0.032442679859113685,0.3308796584674835
154,0.00296468375704512,0.04706322402448653
155,0.00917825755418539,0.1344823837348938
156,0.017097830779266354,0.17786830664367675
157,0.005172123673719168,0.0889613032409668
158,0.006503035321247578,0.14565692842693329
159,0.0038840957054615015,0.0714708492228508
160,0.07371088863105774,0.3404026329586029
161,0.005806849112150072,0.0931719988653183
162,0.012393113232564926,0.13861081004829406
163,0.003931459046316147,0.07391373813838958
164,0.047669589526367184,0.2118742317029953
165,0.005625324796301127,0.11903341860265731
166,0.06631363183946609,0.2736504376003265
167,0.012198256335568428,0.15249556303710937
168,0.004805700627502799,0.09195411205978393
170,0.03143851295800209,0.10664128512830734
171,0.031858185536575316,0.3352658748695373
175,0.02154295519680977,0.38327759505004877
176,0.0029200033819049595,0.05088631436915397
177,0.00817714958207011,0.09163900465459823
178,0.006524733274590969,0.14675971866340634
179,0.02244267985911369,0.3656939268180847
181,0.03161183559091091,0.6950610876152039
183,0.012682849548172951,0.14638769627304074
184,0.03767824918718338,0.8249260187217713
187,0.011560553691697121,0.12893070281238556
188,0.009248455061924458,0.17887972295970914
189,0.012782024226498604,0.2426117956707001
191,0.029499307281684876,0.20377197862358093
192,0.04034847021789552,0.9539791345664979
193,0.02918743715376854,0.19915440679283145
195,0.014666158712816237,0.1454343199798584
197,0.007030470303606987,0.1615480482646942
198,0.003750593408358097,0.07030382753105163
201,0.009077893576931954,0.14741279185504913
202,0.07360637188644409,0.4999086856910706
203,0.01733782795013189,0.16267061234207153
204,0.10750886053533554,0.2723317146369934
205,0.02143851295800209,0.17758421600551605
207,0.021858185536575318,0.3191570937702179
208,0.012011590420615672,0.21525496245117187
209,0.028226850784730903,0.10466923565359115
210,0.003404244787406921,0.06547427178115844
211,0.004994919530463219,0.10310368240566253
212,0.0632943138548851,0.28929018974990844
213,0.03109330893249512,0.14719139040203094
214,0.03471451998443603,0.2075615525314331
215,0.004290932097819448,0.07651178539485931
217,0.03398887836129665,0.23272155225963595
218,0.08570428193302154,0.2630103826591492
219,0.005062717485588789,0.10284900665969847
220,0.007152443758559227,0.08836156130523683
221,0.004247552489277721,0.06441420317382812
222,0.027316585190010068,0.1587111353942871
223,0.012288874022078514,0.12376020849437715
224,0.005794933771130442,0.11073526740760803
226,0.0427118986913681,0.6556350588867188
227,0.026743521920752526,0.4630257487365722
228,0.018767412758779526,0.34078323841781616
229,0.003375562613245844,0.05993043632001877
230,0.10045523942203523,0.6669157147476197
232,0.03021629177720547,0.04674465209932327
233,0.03199110553355217,0.16473078728408813
234,0.030808864391756063,0.12113277614803315
