,head1,head2,head3
0,6.0099,21.324,505.45300000000003
1,5.4278,24.2225,494.441
2,6.1245,15.5415,496.032
3,5.4414,19.5065,469.661
4,5.9620000000000015,22.9595,487.54
5,5.5847,23.499,463.033
6,6.4685000000000015,22.0785,472.08
7,5.7335,23.34,476.72900000000004
8,6.2653,18.05,477.48
9,5.774,24.6955,487.421
10,6.4543,21.92,464.264
11,5.9511,21.5375,459.329
12,5.5262,21.5615,467.199
13,6.0673,17.1825,458.735
14,6.3557000000000015,24.534500000000005,465.905
15,11.5226,17.938,462.395
16,5.8898,20.6995,490.12199999999996
17,6.4822,23.3255,485.295
18,5.9054,15.9355,482.616
19,6.3887,24.8205,482.699
20,6.1728000000000005,15.4815,499.101
21,5.9860000000000015,32.82475676464148,472.675
22,6.2739,18.160999999999998,496.86800000000005
23,6.1799,24.065,494.82
24,6.1783,31.677227968697853,477.404
25,5.8902,21.7495,471.23
26,5.5857,21.382,464.654
27,7.734225096958733,18.194000000000003,463.714
28,5.8801000000000005,28.53427482000054,478.666
29,5.5924,27.468203573898872,491.779
30,5.553,32.092443974145496,470.24300000000005
31,6.1847,39.13816209804695,465.542
32,5.7441,21.0005,468.74
33,5.7286,20.134,464.332
34,5.6927,26.224879545116572,469.96
35,5.9577,23.008000000000003,484.83
36,5.8408,26.179954624744724,466.12300000000005
37,5.4854,16.1325,464.7
38,6.1713000000000005,23.506500000000006,487.23
39,5.9498,23.6695,471.605
40,5.4715,18.6035,494.333
41,5.8569,21.4195,474.67800000000005
42,6.6623,21.7665,501.051
43,6.3067,15.2395,515.644
44,5.9842,38.49619471572515,524.559
45,5.7999,23.0965,499.435
46,5.7962000000000025,24.795,514.562
47,6.3006,19.8515,481.775
48,6.0623000000000005,26.975305276539586,498.73699999999997
49,7.736305760222232,21.6375,510.974
50,5.7729,28.45840717106492,508.005
51,5.5163,16.227999999999998,496.32800000000003
52,5.5903,23.401,516.556
53,5.9169,23.695,468.897
54,5.8193,24.052,464.501
55,6.7659,17.6635,472.17900000000003
56,5.9336,39.408302026512324,519.7919999999999
57,5.7756,49.151199208765156,478.962
58,5.9611,18.8445,500.901
59,6.4335,25.57296588400033,515.37
60,5.9193,18.643,479.269
61,5.8028,18.7675,553.6350768176052
62,5.9929000000000014,16.691499999999998,481.42400000000004
63,6.238,22.522,473.29699999999997
64,6.1934000000000005,24.897,474.764
65,5.8369,17.2945,473.066
66,6.2005,23.3765,466.311
67,7.0314,15.3355,474.74199999999996
68,5.8399,20.5365,467.499
69,5.7447,24.6365,506.152
70,10.234352970177166,23.0635,512.278
71,6.9496,24.0975,474.798
72,5.9869,26.97581383336064,473.19199999999995
73,6.0873,16.1045,514.58
74,6.7017,21.171,549.7902404023056
75,11.765,21.713,472.042
76,5.7074,24.928,474.602
77,5.4365,21.427,483.09
78,5.5162,21.589000000000002,503.39099999999996
79,5.8864,21.98650000000001,490.467
80,5.5986,21.833000000000002,525.018064918387
81,5.6771,15.5565,497.184
82,5.5163,16.005499999999998,496.26300000000003
83,5.5965,46.48367055078821,465.208
84,6.5885,23.177,465.81199999999995
85,6.0043,18.8375,504.19199999999995
86,5.8581,15.094465398895009,522.4119999999999
87,12.1332,19.271,506.417
